Data;Temperatura;Umidade;Maquina;Vibracao1;Vibracao2;Vibracao3;Vibracao4;Vibracao5;Vibracao6;HorasDesdeAUltimaFalha;FalharaEmBreve
2016-07-21;67;83;Afrodite;1386;1611;388;690;432;626;134;Não
2016-11-24;63;81;Afrodite;1555;1786;918;218;1991;1243;164;Não
2016-05-16;64;83;Afrodite;1312;1683;171;589;1450;791;88;Não
2016-04-10;64;81;Afrodite;1687;1900;313;1980;730;1991;65;Não
2016-12-31;65;75;Afrodite;1006;1715;677;1110;1073;1571;2;Não
2016-07-12;68;91;Afrodite;854;2006;1734;1593;981;1845;40;Não
2016-11-28;65;83;Afrodite;387;1803;1321;1779;940;974;78;Não
2016-07-24;63;83;Afrodite;1635;1945;1312;1112;863;2009;208;Não
2016-06-09;62;88;Afrodite;1390;530;695;1549;1233;576;69;Não
2016-05-07;63;80;Afrodite;243;547;1888;1888;1822;505;50;Não
2016-07-10;62;89;Afrodite;1983;1454;687;1696;1392;1828;2;Não
2016-06-16;67;82;Afrodite;717;326;1939;1120;1806;341;243;Não
2016-08-12;68;82;Afrodite;1641;1496;606;822;948;1459;169;Não
2016-03-27;61;88;Afrodite;231;1694;1636;1774;922;720;34;Não
2016-06-19;63;85;Afrodite;1418;735;1135;890;1438;1526;4;Não
2016-07-22;63;85;Afrodite;699;1167;635;1215;855;960;162;Não
2016-03-02;63;76;Afrodite;379;423;1685;1810;1546;734;15;Não
2016-10-16;64;81;Afrodite;1311;921;183;1638;1069;317;52;Não
2016-02-14;68;76;Afrodite;222;1676;1172;1507;473;1257;27;Não
2016-11-16;60;83;Afrodite;401;1338;327;1396;1219;415;16;Não
2016-08-06;63;82;Afrodite;1248;1907;279;867;281;540;24;Não
2016-04-20;64;85;Afrodite;852;1269;1972;1374;632;707;225;Não
2016-12-03;66;85;Afrodite;957;964;535;1807;1875;1435;51;Não
2016-04-07;63;79;Afrodite;594;1165;554;1187;1161;538;111;Não
