Data,Fruta,Preco,Dolar,Producao,ProducaoPerdida,Inflacao,TemperaturaMedia,Chuva,Precipitacao,Umidade,Rupia,Defensivos
2011-03-09,Amla,35,1.659,142.3,0,1.307168769,24.11,22.4,1,55,46.67,431.6
2011-03-10,Amla,35,1.659,134.8,0,1.307168769,24.11,22.4,1,55,46.67,206.9
2011-03-14,Amla,35,1.659,133.5,0,1.307168769,24.11,22.4,1,55,46.67,391.6
2011-03-16,Amla,35,1.659,141.6,0,1.307168769,24.11,22.4,1,55,46.67,565.6
2011-03-17,Amla,35,1.659,137.7,0,1.307168769,24.11,22.4,1,55,46.67,417.6
2011-03-22,Amla,35,1.659,143,0,1.307168769,24.11,22.4,1,55,46.67,636.7
2011-03-26,Amla,35,1.659,135.6,0,1.307168769,24.11,22.4,1,55,46.67,499
2011-04-06,Amla,35,1.659,131.5,0,1.317233969,26.1,41.1,2,89,46.67,638.5
2011-04-07,Amla,35,1.659,142.8,0,1.317233969,26.1,41.1,2,89,46.67,29.7
2011-04-08,Amla,35,1.659,143.1,0,1.317233969,26.1,41.1,2,89,46.67,262.5
2011-04-11,Amla,35,1.659,133,0,1.317233969,26.1,41.1,2,89,46.67,723
2011-04-13,Amla,35,1.659,134.9,0,1.317233969,26.1,41.1,2,89,46.67,258.3
2011-04-18,Amla,35,1.659,139.9,0,1.317233969,26.1,41.1,2,89,46.67,358
2011-04-26,Amla,35,1.659,142.4,0,1.317233969,26.1,41.1,2,89,46.67,353.7
2011-04-27,Amla,35,1.659,142.8,0,1.317233969,26.1,41.1,2,89,46.67,493.2
2011-04-28,Amla,35,1.659,143.8,0,1.317233969,26.1,41.1,2,89,46.67,245.3
2011-04-29,Amla,35,1.659,141.3,0,1.317233969,26.1,41.1,2,89,46.67,63
2011-04-30,Amla,35,1.659,132.6,0,1.317233969,26.1,41.1,2,89,46.67,500.6
2011-05-02,Amla,35,1.613,143.9,0,1.323424968,28.92,53.1,5,98,46.67,796.5
2011-05-03,Amla,35,1.613,142.7,0,1.323424968,28.92,53.1,5,98,46.67,490.6
2011-05-04,Amla,35,1.613,139.3,0,1.323424968,28.92,53.1,5,98,46.67,125
2011-05-05,Amla,35,1.613,133.4,0,1.323424968,28.92,53.1,5,98,46.67,541.2
2011-05-07,Amla,35,1.613,132.9,0,1.323424968,28.92,53.1,5,98,46.67,961.8
2011-05-09,Amla,35,1.613,143.6,0,1.323424968,28.92,53.1,5,98,46.67,810.5
2011-05-10,Amla,35,1.613,140.7,0,1.323424968,28.92,53.1,5,98,46.67,600.3
2011-05-11,Amla,35,1.613,138.8,0,1.323424968,28.92,53.1,5,98,46.67,289
2011-05-12,Amla,35,1.613,141.6,0,1.323424968,28.92,53.1,5,98,46.67,742.7
2011-05-13,Amla,35,1.613,132.9,0,1.323424968,28.92,53.1,5,98,46.67,238.9
2011-05-14,Amla,35,1.613,130.5,0,1.323424968,28.92,53.1,5,98,46.67,928.1
2011-05-16,Amla,35,1.613,139.1,0,1.323424968,28.92,53.1,5,98,46.67,226.4
2011-05-17,Amla,35,1.613,136.7,0,1.323424968,28.92,53.1,5,98,46.67,895.2
2011-05-18,Amla,35,1.613,143.8,0,1.323424968,28.92,53.1,5,98,46.67,288.6
2011-05-19,Amla,35,1.613,132.7,0,1.323424968,28.92,53.1,5,98,46.67,599.2
2011-05-20,Amla,35,1.613,132.5,0,1.323424968,28.92,53.1,5,98,46.67,372.5
2011-05-21,Amla,35,1.613,134,0,1.323424968,28.92,53.1,5,98,46.67,301.1
2011-05-23,Amla,35,1.613,138.9,0,1.323424968,28.92,53.1,5,98,46.67,649.7
